id,name,longitude,latitude
kinshasa,Kinshasa,15.2663,-4.4419
lubumbashi,Lubumbashi,27.4794,-11.6876
mbuji_mayi,Mbuji-Mayi,23.5986,-6.1360
kananga,Kananga,22.4178,-5.8962
kisangani,Kisangani,25.1984,0.5153
bukavu,Bukavu,28.8638,-2.5083
goma,Goma,29.2285,-1.6792
kolwezi,Kolwezi,25.4667,-10.7167
likasi,Likasi,26.7384,-10.9830
tshikapa,Tshikapa,20.7997,-6.4167
matadi,Matadi,13.4400,-5.8167
beni,Beni,29.4739,0.4917
butembo,Butembo,29.2917,0.1333
uvira,Uvira,29.1450,-3.3953
kalemie,Kalemie,29.1947,-5.9475
kindu,Kindu,25.9500,-2.9500
manono,Manono,27.4167,-7.3000
kabinda,Kabinda,24.4833,-6.1333
gemena,Gemena,19.7667,3.2500
lisala,Lisala,21.5167,2.1500
boende,Boende,20.8667,-0.2167
basankusu,Basankusu,19.8000,1.2167
isiro,Isiro,27.6167,2.7667
buta,Buta,24.7333,2.8167
bunia,Bunia,30.2500,1.5667
kamina,Kamina,24.9900,-8.7386
kasongo,Kasongo,26.6667,-4.4500
moanda,Moanda,12.3500,-5.9333
boma,Boma,13.0500,-5.8500
idiofa,Idiofa,19.5833,-4.9667
bulungu,Bulungu,18.6000,-4.5500
kwilu_ngongo,Kwilu-Ngongo,14.9833,-5.4833
mbanza_ngungu,Mbanza-Ngungu,14.8667,-5.2500
inkisi,Inkisi,15.3167,-5.1000
kikwit,Kikwit,18.8167,-5.0500
bandundu,Bandundu,17.3833,-3.3167
inongo,Inongo,18.2833,-1.9500
mushie,Mushie,16.9167,-3.0167
masisi,Masisi,28.8167,-1.4000
rutshuru,Rutshuru,29.4500,-1.1833
walikale,Walikale,28.0000,-1.4167
kasongo_lunda,Kasongo-Lunda,16.8167,-6.4833
popokabaka,Popokabaka,16.5833,-5.9333
luiza,Luiza,22.4000,-7.0500
dibaya,Dibaya,22.0833,-6.5000
kamonia,Kamonia,21.4667,-6.1167
kapanga,Kapanga,24.7333,-11.0500
sandoa,Sandoa,22.8167,-10.7000
mitwaba,Mitwaba,27.3500,-9.2000
moba,Moba,29.7667,-7.0833
nyunzu,Nyunzu,28.0167,-5.9833
aru,Aru,30.8300,2.8500
mahagi,Mahagi,30.9800,2.1700
mambasa,Mambasa,29.0700,1.5500
komanda,Komanda,29.0000,1.5000
baraka,Baraka,29.0800,-4.1000
kamituga,Kamituga,28.1400,-3.0500
shabunda,Shabunda,27.3500,-2.6900
fizi,Fizi,28.9500,-4.3200
bafwasende,Bafwasende,27.2700,1.0800
yangambi,Yangambi,24.4500,0.7700
ubundu,Ubundu,24.5200,0.2300
isangi,Isangi,24.3300,0.7800
bondo,Bondo,23.6900,3.8100
aketi,Aketi,23.7800,2.7400
poko,Poko,26.8200,3.0200
ango,Ango,25.8700,4.0300
watsa,Watsa,29.5400,3.0400
wamba,Wamba,27.9900,2.1500
dungu,Dungu,28.5800,3.6100
faradje,Faradje,29.7200,3.7300
libenge,Libenge,18.6300,3.6500
zongo,Zongo,18.6000,4.3500
budjala,Budjala,19.7024,2.6472
irumu,Irumu,30.0166,1.2702
walungu,Walungu,28.6001,-2.7708
opala,Opala,24.2298,-0.5097
bambesa,Bambesa,25.6944,3.4491
niangara,Niangara,27.8974,3.6906
kungu,Kungu,19.2041,2.7807
mogalo,Mogalo,19.0591,3.1655
