category,message
low,"James may never let you forget this one."
low,"Just imagine what James will say when he finds out about this."
low,"James will be so disappointed."
low,"You should probably keep this score to yourself."
low,"That was geographically ambitious."
low,"Your pin took the scenic route."
low,"Somewhere, James just felt a disturbance."
low,"Maybe the map was upside down?"
low,"There is nowhere to go but up."
low,"Let's call that a practice question."
medium,"Not terrible. James is cautiously optimistic."
medium,"You're in the general neighborhood... sort of."
medium,"Respectable, but James would ask for a recount."
medium,"Better than a wild guess. Barely."
medium,"James might let this one slide."
medium,"You're getting warmer - probably."
medium,"Solid effort. The map remains unconvinced."
medium,"Middle of the pack, middle of the continent."
medium,"Not bad, but James has receipts."
medium,"Keep going; James hasn't started bragging yet."
high,"Great job! Almost as good as James."
high,"That was suspiciously accurate."
high,"James is starting to feel threatened."
high,"Okay, geography nerd, we see you."
high,"Very strong. James may approve this message."
high,"That's close enough to make James nervous."
high,"Excellent guess. Don't get cocky."
high,"James would give that a respectful nod."
high,"Now you're making the rest of us look bad."
high,"High-score energy. James is taking notes."
perfect,"100 points. Are you sure you're not cheating?"
perfect,"Perfect. James wants to see your sources."
perfect,"Exactly right. James is calling for an investigation."
perfect,"100/100. Suspiciously James-like."
perfect,"Perfect score. The satellites are impressed."
perfect,"Flawless. James may have found his replacement."
perfect,"You nailed it. James is pretending not to be jealous."
perfect,"Perfect. Please explain how you knew that."
perfect,"Textbook performance. James approves... reluctantly."
perfect,"100 points. We may need to audit the map."
